Time,Airspeed,ALT,Alpha,Beta,Theta,Phi
16.12018,10.30877,3.766908,0.1465439,-9.131025,-1.167165,10.08017
16.22018,10.29422,3.771051,0.1551944,-8.797029,-1.314558,10.44431
16.32018,10.28253,3.772175,0.1604458,-8.432618,-1.467133,10.79765
16.42019,10.27389,3.770048,0.1621013,-8.040596,-1.624432,11.13966
16.52019,10.26852,3.764452,0.1599855,-7.623913,-1.785982,11.46992
16.62019,10.26658,3.755182,0.1539493,-7.185669,-1.9513,11.78807
16.72019,10.26824,3.742057,0.1438691,-6.729099,-2.119893,12.09383
16.82019,10.27362,3.72491,0.1296578,-6.257541,-2.291258,12.38698
16.9202,10.28283,3.703598,0.1112624,-5.774393,-2.464879,12.66737
17.0202,10.29596,3.677997,0.08866493,-5.283121,-2.640236,12.93492
17.1202,10.31305,3.64801,0.06188221,-4.787178,-2.8168,13.18961
17.2202,10.33436,3.613199,0.2515341,-4.289767,-2.876936,13.43019
17.32021,10.36041,3.573433,1.69238,-3.790154,-1.349676,13.65237
17.42021,10.37499,3.547071,2.834856,-3.293299,1.03029,13.89745
17.52021,10.36242,3.550272,3.467526,-2.801495,3.60984,14.18773
17.62021,10.31304,3.592569,2.674342,-2.312424,5.210715,14.49982
17.72021,10.23257,3.665161,1.46317,-1.819682,5.415915,14.78605
17.82022,10.13873,3.749403,0.7297502,-1.312592,5.20435,15.05322
17.92022,10.04314,3.833675,0.417349,-0.7854798,4.907519,15.30664
18.02022,9.95184,3.912126,0.3470017,-0.2370585,4.60858,15.5475
18.12022,9.867681,3.982146,0.3883485,0.3313436,4.313411,15.77547
18.22023,9.791966,4.042643,0.4705313,0.9169782,4.01201,15.98987
18.32023,9.725353,4.093149,0.5607079,1.516233,3.695879,16.19008
18.42023,9.668229,4.13344,0.6453693,2.12493,3.360701,16.37558
18.52023,9.620868,4.163388,0.7194569,2.738442,3.00527,16.546
18.62024,9.583459,4.182915,0.7811353,3.351838,2.630158,16.70103
18.72024,9.556125,4.191988,0.8296521,3.959985,2.23682,16.84054
18.82024,9.538917,4.190613,0.864589,4.557646,1.827129,16.96444
18.92024,9.531809,4.17884,0.8856642,5.1396,1.403148,17.07275
19.02024,9.53471,4.156759,0.8927435,5.70073,0.9670437,17.16556
19.12025,9.54745,4.124506,0.8858654,6.236164,0.5210316,17.24306
19.22025,9.569797,4.082248,0.8652527,6.741363,0.0673603,17.30549
19.32025,9.601458,4.030192,0.8313466,7.212147,-0.3917089,17.35319
19.42025,9.642088,3.968578,0.7847713,7.644812,-0.8539187,17.38654
19.52026,9.691299,3.89767,0.726324,8.036123,-1.317042,17.40602
19.62026,9.748665,3.817767,0.6569328,8.383351,-1.778894,17.41215
19.72026,9.813726,3.729186,0.5776505,8.684285,-2.237345,17.40553
